ean,nombre,marca,kcal_100g,proteina_100g,hidratos_100g,grasas_100g,rol_principal,grupo_mediterraneo,frecuencia_mediterranea,permitido_comidas,categorias,,,
8480000101990,Nata Cocinar,Hacendado,163.0,2.0,5.0,15.0,grasa,otros,variable,"almuerzo,cena","Dairies,Creams,UHT Creams,Unfermented creams",,,
8480000156488,Bebida de Almendras Enriquecida con Calcio,Hacendado,36.0,0.7,3.7,2.0,hidrato,lacteo,regular,"desayuno,media_manana,merienda,postre","Bebidas y preparaciones de bebidas,Alimentos y bebidas de origen vegetal,Bebidas,Alimentos de origen vegetal,en:Dairy substitutes,Sustitutos de la leche,Frutos de cáscara y derivados,Bebidas de origen vegetal,Bebidas vegetales,Leches de frutos de cáscara,Leches de almendras",,,
8480000223111,Natillas Proteínas  Sabor Vainilla,Hacendado,76.7,10.0,5.83,1.5,proteina,otros,variable,"almuerzo,cena","Dairies, Desserts, Dairy desserts, Entremets - mousses and creamy puddings, Creamy puddings, Vanilla creamy puddings, en:fermented-dairy-desserts",,,
8402001015168,Caldo de pollo,Hacendado,5.0,0.5,1.3,0.5,hidrato,carne_blanca,moderada,"almuerzo,cena",Brou,,,
8480000293145,Bebida de soja 0% azúcares,Hacendado,31.0,3.1,0.6,1.7,proteina,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Plant-based foods and beverages,Beverages,Plant-based foods,Legumes and their products,Dairy substitutes,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Legume-based drinks,Soy-based drinks,Unsweetened plain soy-based drinks",,,
8480000609632,Queso fresco cottage,HACENDADO,99.0,14.0,1.7,4.0,proteina,queso_curado,moderada,"media_manana,almuerzo,merienda,cena","Lácteos,Comidas fermentadas,Productos fermentados de la leche,Quesos,Queso fresco,Cottage",,,
8480000828422,Pan tostado 100% espelta integral,Hacendado,384.0,17.5,60.4,6.0,hidrato,cereal_integral,frecuente,"desayuno,media_manana,almuerzo,merienda,cena","Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Toasts",,,
8480000566614,Tiras de pechuga de pollo al natural,Hacendado,107.0,23.4,0.6,1.2,proteina,carne_blanca,moderada,"almuerzo,cena","Productos a base de carne,Carnes,Pollo y sus productos,Aves,Carnes frías,Pollo,Aves cocidas,Pollo Preparado,Pechugas de pollo,en:Cooked chicken breast without skin",,,
8480000171313,Tomate frito receta artesana,Hacendado,201.0,1.6,14.3,15.0,"hidrato,grasa",verdura,frecuente,"almuerzo,cena","Condimentos,Salsas,en:Meal sauces,Salsas de tomate,Salsas de tomate frito,en:Groceries",,,
8480000223135,Yogur natural,Hacendado,62.0,3.7,4.1,3.4,"proteina,hidrato,grasa",lacteo,regular,"desayuno,media_manana,merienda,postre","Lácteos,Comidas fermentadas,Productos fermentados de la leche,Postres,Postres lácteos,en:Fermented dairy desserts,Yogures,en:Plain fermented dairy desserts,Yogures naturales",,,
8480000160447,Tomate triturado,Hacendado,28.0,0.8,5.5,0.0,hidrato,verdura,frecuente,"almuerzo,cena","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Frutas y verduras y sus productos,Condimentos,Verduras y hortalizas y sus productos,Hortalizas,Salsas,Tomates y sus productos,Salsas de tomate,Tomates,Tomate natural triturado",,,
8480000140159,Tortitas de maíz con chocolate negro,Hacendado,477.0,6.15,64.6,20.9,hidrato,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Cereales y patatas,Cereales y derivados,Tortitas de cereales,Tortitas de maíz,Tortitas de maíz con chocolate negro",,,
